2025-02-11 21:03:53,219 - INFO - Starting event ingestion...
2025-02-11 21:03:53,288 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11002e9d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,289 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100413d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,289 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100417f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,289 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110038970>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,289 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11004b670>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,291 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11004be20>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,291 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11005e070>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,293 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100691f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,294 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11005ec40>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,294 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110076850>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,298 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11007d490>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,298 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110085af0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,303 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11009e400>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,303 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11009edf0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,303 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110098fa0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,304 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100ab400>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,305 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100b5df0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,305 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100ab820>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,307 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100c6eb0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,308 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100d3e20>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,309 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100dda60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,309 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100d3850>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,309 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100e97f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,310 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1100dde80>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,314 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110103250>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,314 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110103640>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,315 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110103a60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,317 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11011f040>: Failed to establish a new connection: [Errno 61] Connection refused'))
